a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.qlvalue	a.rank	m._quicklink	m._qltitle	m._seedURL	m._control
viveca	1	1	0b1fe5f24d374ffef4526e2196f89666	4644http://www.chicagoweathercenter.com/news/almanac/	2014-12-03	qlrescale001	Uncertain	9	http://www.chicagoweathercenter.com/news/almanac/	Almanac	http://www.chicagoweathercenter.com/	4644
viveca	1	1	0e99441987464b6593dde07618093f56	4641http://www.chicagoweathercenter.com/locations/lakemichigan/	2014-12-03	qlrescale001	Uncertain	6	http://www.chicagoweathercenter.com/locations/lakemichigan/	Lake Michigan Marine Forecast	http://www.chicagoweathercenter.com/	4641
viveca	1	1	1bc318b7a8dd3d8659f2778435bc3ac8	4642http://www.chicagoweathercenter.com/about/tomskilling/	2014-12-03	qlrescale001	Uncertain	7	http://www.chicagoweathercenter.com/about/tomskilling/	Tom Skilling	http://www.chicagoweathercenter.com/	4642
viveca	1	1	41b158d2cba0f82689366c3668f73f5b	4643http://www.chicagoweathercenter.com/video/forecast/	2014-12-03	qlrescale001	Uncertain	8	http://www.chicagoweathercenter.com/video/forecast/	Video	http://www.chicagoweathercenter.com/	4643
viveca	1	1	5d2d924e32c3bd20268bfa48a9925e2b	4638http://chicagoweathercenter.com/maps	2014-12-03	qlrescale001	Uncertain	3	http://chicagoweathercenter.com/maps	More	http://www.chicagoweathercenter.com/	4638
viveca	1	1	749a4799b2ccae07c0113257759193b0	4637http://blog.chicagoweathercenter.com/	2014-12-03	qlrescale001	Uncertain	2	http://blog.chicagoweathercenter.com/	Blog	http://www.chicagoweathercenter.com/	4637
viveca	1	1	74cdb6b73f4069b6e8407777b3238ce2	4640http://www.chicagoweathercenter.com/maps/radar/	2014-12-03	qlrescale001	Uncertain	5	http://www.chicagoweathercenter.com/maps/radar/	Radar	http://www.chicagoweathercenter.com/	4640
viveca	1	1	82dc4014ee6b54dcef5177395986a993	4636http://chicagoweathercenter.com/radar	2014-12-03	qlrescale001	Definitely YES	1	http://chicagoweathercenter.com/radar	Interactive Radar	http://www.chicagoweathercenter.com/	4636
viveca	1	1	a8d07b4783f8bb4eeffdf36ce03aa3da	4639http://www.chicagoweathercenter.com/severe/	2014-12-03	qlrescale001	Uncertain	4	http://www.chicagoweathercenter.com/severe/	Severe & Alerts	http://www.chicagoweathercenter.com/	4639
viveca	1	1	c41350c32df7d623c0d42cf44296eca5	4635http://chicagoweathercenter.com/forecast	2014-12-03	qlrescale001	Definitely YES	0	http://chicagoweathercenter.com/forecast	Marine Forecast	http://www.chicagoweathercenter.com/	4635
viveca	8	8	3fe42f687d28cd20b59ce87e10904190	6520http://www.gunbroker.com/Bolt-Action-Rifles/BI.aspx	2014-12-05	qlrescale001	Uncertain	6	http://www.gunbroker.com/Bolt-Action-Rifles/BI.aspx	Bolt Action Rifles	http://www.gunbroker.com/	6520
viveca	8	8	43843e5cc68e52ed589e7f46491a48c1	6523http://www.gunbroker.com/M1-Carbine/Browse.aspx?Keywords=M1 Carbine	2014-12-05	qlrescale001	Uncertain	9	http://www.gunbroker.com/M1-Carbine/Browse.aspx?Keywords=M1 Carbine	M1 Carbine	http://www.gunbroker.com/	6523
viveca	8	8	55d2b9b082c730033dbc6a2a7484c19e	6522http://www.gunbroker.com/Semi-Auto-Rifles/BI.aspx	2014-12-05	qlrescale001	Definitely YES	8	http://www.gunbroker.com/Semi-Auto-Rifles/BI.aspx	Semi Auto Rifles	http://www.gunbroker.com/	6522
viveca	8	8	5833ed6a4649b590e4eb9cc37ac2db0e	6519http://www.gunbroker.com/Ruger-Firearms/Browse.aspx?Keywords=Ruger	2014-12-05	qlrescale001	Uncertain	5	http://www.gunbroker.com/Ruger-Firearms/Browse.aspx?Keywords=Ruger	Ruger	http://www.gunbroker.com/	6519
viveca	8	8	6323a693d541e79e42c0c9b71c9292d3	6515http://www.gunbroker.com/Revolvers/BI.aspx	2014-12-05	qlrescale001	Definitely YES	1	http://www.gunbroker.com/Revolvers/BI.aspx	Revolvers	http://www.gunbroker.com/	6515
viveca	8	8	7bc60f470692a12c6448e0682130783b	6516https://forums.gunbroker.com/	2014-12-05	qlrescale001	Definitely YES	2	https://forums.gunbroker.com/	Message Forums	http://www.gunbroker.com/	6516
viveca	8	8	7f0d3f278b60604841985875ca7acb84	6514http://www.gunbroker.com/Auction/BI.aspx	2014-12-05	qlrescale001	Definitely NO	0	http://www.gunbroker.com/Auction/BI.aspx	auctions	http://www.gunbroker.com/	6514
viveca	8	8	c3af221c21cdf6e64267414a84007904	6521http://www.gunbroker.com/Remington-870/Browse.aspx?Keywords=Remington 870	2014-12-05	qlrescale001	Uncertain	7	http://www.gunbroker.com/Remington-870/Browse.aspx?Keywords=Remington 870	Remington 870	http://www.gunbroker.com/	6521
viveca	8	8	d03586b7255046e4cfd0c12f6e3d6111	6517http://www.gunbroker.com/Lever-Action-Rifles/BI.aspx	2014-12-05	qlrescale001	Uncertain	3	http://www.gunbroker.com/Lever-Action-Rifles/BI.aspx	Lever Action Rifles	http://www.gunbroker.com/	6517
viveca	8	8	d48defaa33c52e465237a6adb25ad9d3	6518http://www.gunbroker.com/Bushmaster-AR-15/Browse.aspx?Keywords=Bushmaster AR 15	2014-12-05	qlrescale001	Uncertain	4	http://www.gunbroker.com/Bushmaster-AR-15/Browse.aspx?Keywords=Bushmaster AR 15	Bushmaster AR-15	http://www.gunbroker.com/	6518
viveca	12	12	14a726b9dc97f2ec74adbbdae94d492a	802http://domino.com/domino-domino-magazine-summer-2014-issue/SUMMER2014	2014-11-25	qlrescale001	Definitely NO	7	http://domino.com/domino-domino-magazine-summer-2014-issue/SUMMER2014	Login	http://domino.com/	802
viveca	12	12	79d795543ab94c894d4828af5a5ca5b8	803http://domino.com/about us/aboutdomino	2014-11-25	qlrescale001	Uncertain	8	http://domino.com/about us/aboutdomino	About	http://domino.com/	803
viveca	12	12	7df84ba3100a8ced3cd84ae2b49f85fb	798http://domino.com/shop/all	2014-11-25	qlrescale001	Uncertain	3	http://domino.com/shop/all	Shop	http://domino.com/	798
viveca	12	12	a60ffb8f82708f60dd14e15298f16de0	804http://domino.com/domino-domino-gift-card/GIFT	2014-11-25	qlrescale001	Uncertain	9	http://domino.com/domino-domino-gift-card/GIFT	Gift Cards	http://domino.com/	804
viveca	12	12	ab01a5320e2540907c888ab98ed714eb	800http://domino.com/shop/Furniture	2014-11-25	qlrescale001	Uncertain	5	http://domino.com/shop/Furniture	Furniture	http://domino.com/	800
viveca	12	12	abccdcd6a273bbdd2c13652fa20891bb	795http://domino.com/domino-magazine-subscription	2014-11-25	qlrescale001	Definitely YES	0	http://domino.com/domino-magazine-subscription	Subscribe Today	http://domino.com/	795
viveca	12	12	b6d38fbea1f7456d59a4916e4ce90a4b	796http://domino.com/galleries	2014-11-25	qlrescale001	Definitely YES	1	http://domino.com/galleries	Galleries	http://domino.com/	796
viveca	12	12	bfef0ec43ff0af0a92a97e4705c2f9a0	801http://domino.com/shop/Lighting	2014-11-25	qlrescale001	Uncertain	6	http://domino.com/shop/Lighting	Lighting	http://domino.com/	801
viveca	12	12	c0600b6f28c39e9f4f1b428bf7446467	799http://domino.com/domino-domino-magazine-holiday-2013-issue/HOLIDAY2013	2014-11-25	qlrescale001	Definitely NO	4	http://domino.com/domino-domino-magazine-holiday-2013-issue/HOLIDAY2013	Magazine	http://domino.com/	799
viveca	12	12	d94869d70e770505e35e136a7eba7506	797http://domino.com/deals	2014-11-25	qlrescale001	Definitely YES	2	http://domino.com/deals	Deals	http://domino.com/	797
viveca	16	16	451d9e12e9775c06f3c059306e4abfd7	7206http://webmaila.juno.com/	2014-11-12	qlrescale001	Uncertain	2	http://webmaila.juno.com/	Webmail	http://www.juno.com/	7206
viveca	16	16	55eb7aa891508596ab4e8809e92971cd	7210http://www.juno.com/free	2014-11-12	qlrescale001	Uncertain	6	http://www.juno.com/free	Free Dial-Up	http://www.juno.com/	7210
