a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.Judgments	a.comment	a.rank	m._Q1	m._Sno	m._Q2	b.data
veronikai	1	1	cb70ab375662576bd1ac5aaf16b3fca4	243	2015-08-31	QueryPair2KQbert828	Excellent		0	best western mill river manor	243	best western river manor	best western mill river manor
veronikai	1004	1004	73e0f7487b8e5297182c5a711d20bf26	1905	2015-08-31	QueryPair2KQbert828	Excellent		0	tickets aruba	1905	aruba fly	tickets aruba
veronikai	1006	1006	80537a945c7aaa788ccfcdf1b99b5d8f	2284	2015-09-03	QueryPair2KQbert828	Good		0	pacific palms	2284	pacific palms city of industry	pacific palms
veronikai	101	101	a1afc58c6ca9540d057299ec3016d726	1573	2015-08-31	QueryPair2KQbert828	Good		0	cirque du soleil o	1573	o cirque du soleil las vegas	cirque du soleil o
veronikai	1014	1014	bcbe3365e6ac95ea2c0343a2395834dd	222	2015-09-03	QueryPair2KQbert828	Good		0	day cruises	222	2 day cruise	day cruises
veronikai	1016	1016	20b5e1cf8694af7a3c1ba4a87f073021	1047	2015-08-31	QueryPair2KQbert828	Excellent		0	flights tel aviv	1047	flights tel aviv airport	flights tel aviv
veronikai	103	103	903ce9225fca3e988c2af215d4e544d3	143	2015-08-31	QueryPair2KQbert828	Good		0	nashville cheap hotels	143	nashville hotel	nashville cheap hotels
veronikai	1046	1046	3988c7f88ebcb58c6ce932b957b6f332	137	2015-08-31	QueryPair2KQbert828	Excellent		0	dallas texas	137	dallas texas	dallas texas
veronikai	1069	1069	c7635bfd99248a2cdef8249ef7bfbef4	1124	2015-08-31	QueryPair2KQbert828	Good		0	cheap hotels maui hawaii	1124	top hotels in maui hawaii	cheap hotels maui hawaii
veronikai	1085	1085	58e4d44e550d0f7ee0a23d6b02d9b0db	948	2015-08-31	QueryPair2KQbert828	Excellent		0	expedia.com flights search	948	expedia.com flight	expedia.com flights search
veronikai	1090	1090	1fb2a1c37b18aa4611c3949d6148d0f8	2430	2015-08-31	QueryPair2KQbert828	Good		0	cheap flights pittsburgh	2430	flights to pittsburgh pennsylvania	cheap flights pittsburgh
veronikai	1098	1098	1368ba1ab6ed38bb1f26f36673739d54	2210	2015-08-31	QueryPair2KQbert828	Fair		0	car rental for a week	2210	car rental kitzbuhel	car rental for a week
veronikai	1101	1101	07a9d3fed4c5ea6b17e80258dee231fa	2448	2015-08-31	QueryPair2KQbert828	Excellent		0	hotels in fort smith ar	2448	fort smith ar hotels	hotels in fort smith ar
veronikai	1102	1102	a0a080f42e6f13b3a2df133f073095dd	122	2015-08-31	QueryPair2KQbert828	Good		0	ashland springs hotel	122	hotels in ashland or	ashland springs hotel
veronikai	1103	1103	0cb929eae7a499e50248a3a78f7acfc7	696	2015-08-31	QueryPair2KQbert828	Good		0	cheap last minute flight	696	last minute flight	cheap last minute flight
veronikai	1114	1114	f718499c1c8cef6730f9fd03c8125cab	256	2015-08-31	QueryPair2KQbert828	Good		0	rochester mn hotels near mayo clinic	256	hotel rochester mn	rochester mn hotels near mayo clinic
veronikai	1119	1119	69d658d0b2859e32cd4dc3b970c8496c	1613	2015-08-31	QueryPair2KQbert828	Good		0	best rental car company	1613	list of auto rental companies	best rental car company
veronikai	1132	1132	9c82c7143c102b71c593d98d96093fde	706	2015-08-31	QueryPair2KQbert828	Excellent		0	hard rock hotel san diego ca	706	diego hard rock san	hard rock hotel san diego ca
veronikai	1138	1138	64f1f27bf1b4ec22924fd0acb550c235	1675	2015-08-31	QueryPair2KQbert828	Good		0	hotel french lick	1675	french lick resort and casino	hotel french lick
veronikai	1146	1146	6150ccc6069bea6b5716254057a194ef	2276	2015-08-31	QueryPair2KQbert828	Good		0	greektown hotel	2276	greektown casino hotel coupons	greektown hotel
veronikai	1154	1154	955cb567b6e38f4c6b3f28cc857fc38c	2054	2015-08-31	QueryPair2KQbert828	Good		0	spirit	2054	spiritairlines com	spirit
veronikai	1176	1176	82aa4b0af34c2313a562076992e50aa3	162	2015-08-31	QueryPair2KQbert828	Excellent	same thing essentially	0	rent van vacation	162	passenger van renting	rent van vacation
veronikai	1187	1187	7e7757b1e12abcb736ab9a754ffb617a	166	2015-08-31	QueryPair2KQbert828	Good		0	best hotels asheville	166	hotels asheville north carolina	best hotels asheville
veronikai	1188	1188	e069ea4c9c233d36ff9c7f329bc08ff1	2297	2015-08-31	QueryPair2KQbert828	Fair	not only is it a different lodge than in Q1, but Q2 is also for reviews	0	lupin lodge los gatos	2297	los gatos lodge reviews	lupin lodge los gatos
veronikai	1191	1191	777669af68dbccabc30c3b6bcaa81825	2346	2015-08-31	QueryPair2KQbert828	Good		0	airfare to washington dc	2346	cheap tickets washington dc	airfare to washington dc
veronikai	1198	1198	233509073ed3432027d48b1a83f5fbd2	625	2015-08-31	QueryPair2KQbert828	Good		0	dominican republic all inclusive vacation	625	punta cana all inclusive vacation	dominican republic all inclusive vacation
veronikai	121	121	6c3cf77d52820cd0fe646d38bc2145ca	882	2015-08-31	QueryPair2KQbert828	Good		1	ocean city rental	882	ocean city nightly rentals	ocean city rental
veronikai	121	121	c6e19e830859f2cb9f7c8f8cacb8d2a6	581	2015-08-31	QueryPair2KQbert828	Good		0	ocean city rental	581	rental houses in ocean city md	ocean city rental
veronikai	1212	1212	147702db07145348245dc5a2f2fe5683	1202	2015-08-31	QueryPair2KQbert828	Excellent		0	flights seattle wa	1202	seattle airfare	flights seattle wa
veronikai	1218	1218	f29c21d4897f78948b91f03172341b7b	613	2015-08-31	QueryPair2KQbert828	Excellent		0	vacation rentals myrtle beach	613	vacation rentals in myrtle beach south carolina	vacation rentals myrtle beach
veronikai	1222	1222	712a3c9878efeae8ff06d57432016ceb	1656	2015-08-31	QueryPair2KQbert828	Fair		0	copa air	1656	aero california airlines	copa air
veronikai	1229	1229	491442df5f88c6aa018e86dac21d3606	1203	2015-08-31	QueryPair2KQbert828	Good		0	direct flights mexico	1203	fly to mexico	direct flights mexico
veronikai	1231	1231	3e313b9badf12632cdae5452d20e1af6	1351	2015-08-31	QueryPair2KQbert828	Good		0	us west airlines	1351	sw airlines	us west airlines
veronikai	1239	1239	09b15d48a1514d8209b192a8b8f34e48	1811	2015-08-31	QueryPair2KQbert828	N/J	FL	0	hoteles en las vegas	1811	hoteles en las vegas	hoteles en las vegas
veronikai	1241	1241	806beafe154032a5b818e97b4420ad98	1620	2015-08-31	QueryPair2KQbert828	Good		0	freight services	1620	freight shipping services	freight services
veronikai	1254	1254	0e4e946668cf2afc4299b462b812caca	1412	2015-08-31	QueryPair2KQbert828	Good		0	hotels hemet	1412	motels in hemet california	hotels hemet
veronikai	1259	1259	996009f2374006606f4c0b0fda878af1	1302	2015-08-31	QueryPair2KQbert828	Good		0	hotel durham nc	1302	hilton garden inn durham north carolina	hotel durham nc
veronikai	1279	1279	1bc0249a6412ef49b07fe6f62e6dc8de	1602	2015-08-31	QueryPair2KQbert828	Excellent		0	car rental madison	1602	madison car rentals	car rental madison
veronikai	1281	1281	bea5955b308361a1b07bc55042e25e54	924	2015-08-31	QueryPair2KQbert828	Excellent		0	rent pickup truck	924	rent a pickup	rent pickup truck
veronikai	1282	1282	2290a7385ed77cc5592dc2153229f082	1064	2015-08-31	QueryPair2KQbert828	Good		0	uber phoenix	1064	uber	uber phoenix
veronikai	1316	1316	fec8d47d412bcbeece3d9128ae855a7a	982	2015-08-31	QueryPair2KQbert828	Good		0	car rental syracuse ny	982	syracuse cheap car rentals	car rental syracuse ny
veronikai	132	132	f4be00279ee2e0a53eafdaa94a151e2c	528	2015-08-31	QueryPair2KQbert828	Excellent		0	hotels in farmington	528	farmington hotel room	hotels in farmington
veronikai	1327	1327	7bcdf75ad237b8e02e301f4091fb6bc8	538	2015-08-31	QueryPair2KQbert828	Good		0	grand hotel casino las vegas	538	grand hotel and casino	grand hotel casino las vegas
veronikai	1338	1338	08d98638c6fcd194a4b1e6992063e944	682	2015-08-31	QueryPair2KQbert828	Excellent		0	hotel suites boston ma	682	hotels in boston massachusetts	hotel suites boston ma
veronikai	1362	1362	2f55707d4193dc27118a0f19a1985716	493	2015-08-31	QueryPair2KQbert828	Good		0	car rentals south africa	493	cheapest car hire south africa	car rentals south africa
veronikai	1365	1365	c45147dee729311ef5b5c3003946c48f	116	2015-08-31	QueryPair2KQbert828	Good		0	hotel arcata	116	cheap hotel arcata	hotel arcata
veronikai	1366	1366	d523773c6b194f37b938d340d5d02232	1885	2015-08-31	QueryPair2KQbert828	Good	a few Jacksons in the US; MS is removed that s why downgraded	0	hotel in jackson ms	1885	jackson hotels	hotel in jackson ms
veronikai	1371	1371	dc4c44f624d600aa568390f1f1104aa0	1262	2015-08-31	QueryPair2KQbert828	Good		0	vacations miami	1262	miami fl vacation package	vacations miami
veronikai	1373	1373	d7a728a67d909e714c0774e22cb806f2	609	2015-08-31	QueryPair2KQbert828	Good	4 different Ashlands in the US	0	hotels in ashland	609	hotel ashland or	hotels in ashland
veronikai	1384	1384	1587965fb4d4b5afe8428a4a024feb0d	1008	2015-08-31	QueryPair2KQbert828	Excellent		0	best western watsonville	1008	best western hotel watsonville california	best western watsonville
veronikai	1391	1391	df12ecd077efc8c23881028604dbb8cc	1523	2015-08-31	QueryPair2KQbert828	Good		0	best prices cruises	1523	best cruise prices online	best prices cruises
veronikai	1396	1396	f8bf09f5fceaea80e1f864a1b48938bf	2064	2015-08-31	QueryPair2KQbert828	Good		0	jamaican resorts	2064	relax resort jamaica	jamaican resorts
veronikai	1426	1426	347665597cbfaef834886adbb848011f	2490	2015-08-31	QueryPair2KQbert828	Good		0	dolphin inn carmel	2490	dolphin inn reviews	dolphin inn carmel
veronikai	1428	1428	752d25a1f8dbfb2d656bac3094bfb81c	1739	2015-08-31	QueryPair2KQbert828	Good		0	hotel little rock ar	1739	best little rock hotel	hotel little rock ar
veronikai	143	143	e3796ae838835da0b6f6ea37bcf8bcb7	281	2015-08-31	QueryPair2KQbert828	Good		0	cheap hotel wisconsin dells	281	cheap motel in wisconsin dells	cheap hotel wisconsin dells
veronikai	1439	1439	708f3cf8100d5e71834b1db77dfa15d6	1074	2015-08-31	QueryPair2KQbert828	Good		0	flights from canada	1074	flight tickets to canada	flights from canada
veronikai	144	144	fae0b27c451c728867a567e8c1bb4e53	666	2015-08-31	QueryPair2KQbert828	Excellent		0	hotels marshall tx	666	hotel in marshall texas	hotels marshall tx
veronikai	1459	1459	0d0fd7c6e093f7b804fa0150b875b868	408	2015-08-31	QueryPair2KQbert828	Excellent		0	bed breakfast york	408	bed and breakfasts york	bed breakfast york
veronikai	1470	1470	8f468c873a32bb0619eaeb2050ba45d1	968	2015-08-31	QueryPair2KQbert828	Excellent		0	st louis flights	968	flights to st louis	st louis flights
veronikai	1487	1487	b3e3e393c77e35a4a3f3cbd1e429b5dc	153	2015-08-31	QueryPair2KQbert828	Fair		0	best vacation sites	153	best vacation ever	best vacation sites
veronikai	1488	1488	c8cbd669cfb2f016574e9d147092b5bb	1793	2015-08-31	QueryPair2KQbert828	Good		0	hotels brooklyn ny	1793	brooklyn cheap hotels	hotels brooklyn ny
veronikai	149	149	6b8eba43551742214453411664a0dcc8	1550	2015-08-31	QueryPair2KQbert828	Good		0	airfasttickets.com	1550	air tickets	airfasttickets.com
veronikai	152	152	4cb811134b9d39fc3104bd06ce75abad	2260	2015-08-31	QueryPair2KQbert828	Excellent		0	hard rock resort dominican republic	2260	hard rock in punta cana	hard rock resort dominican republic
veronikai	1529	1529	86109d400f0ed29e840b47ed72777c84	1345	2015-08-31	QueryPair2KQbert828	Excellent		0	cheap hotels in napa ca	1345	cheap hotels napa ca	cheap hotels in napa ca
veronikai	153	153	08e6bea8e90ba87af3c9554d94db6579	1677	2015-08-31	QueryPair2KQbert828	Good		0	flight sacramento	1677	cheap sacramento california flights	flight sacramento
veronikai	1551	1551	0234c510bc6d908b28c70ff313743079	2176	2015-08-31	QueryPair2KQbert828	Good		0	viking cruise ships	2176	viking cruiselines	viking cruise ships
veronikai	1564	1564	17c3433fecc21b57000debdf7ad5c930	1819	2015-08-31	QueryPair2KQbert828	Good		0	costa rica car rental 4x4	1819	car rental costa rica	costa rica car rental 4x4
veronikai	1572	1572	059fdcd96baeb75112f09fa1dcc740cc	1895	2015-08-31	QueryPair2KQbert828	Good		0	edinburgh scotland	1895	climate in edinburgh scotland	edinburgh scotland
veronikai	1596	1596	89885ff2c83a10305ee08bd507c1049c	2041	2015-08-31	QueryPair2KQbert828	Good		0	cruises from nj	2041	cheap cruises from bayonne nj	cruises from nj
veronikai	1605	1605	2647c1dba23bc0e0f9cdf75339e120d2	1824	2015-08-31	QueryPair2KQbert828	Excellent		0	all inclusive vacation in aruba	1824	aruba allinclusive	all inclusive vacation in aruba
veronikai	1611	1611	a42a596fc71e17828440030074d15e74	1194	2015-08-31	QueryPair2KQbert828	Good		0	motels kent ohio	1194	hotel in kent ohio	motels kent ohio
veronikai	1613	1613	cd00692c3bfe59267d5ecfac5310286c	328	2015-08-31	QueryPair2KQbert828	Good		0	cheap hotels lake tahoe nv	328	hotels lake tahoe ca	cheap hotels lake tahoe nv
veronikai	162	162	07871915a8107172b3b5dc15a6574ad3	889	2015-08-31	QueryPair2KQbert828	Fair		0	riverside casino	889	riverside hotel laughlin nv	riverside casino
veronikai	1622	1622	bb1662b7c5f22a0f905fd59e718ca05e	2177	2015-08-31	QueryPair2KQbert828	Good		0	seattle cruises to alaska	2177	cruise from seattle	seattle cruises to alaska
veronikai	1623	1623	8ebda540cbcc4d7336496819a46a1b68	611	2015-08-31	QueryPair2KQbert828	Excellent		0	things do asheville	611	best things to do in asheville	things do asheville
