944,101,,US,US,US,USD,
18803,1015223,,US,US,US,USD,
23694,10169,,US,US,US,USD,
9973,1019,,US,US,US,USD,
23694,10203,,US,US,US,USD,
972,103,,US,US,US,USD,
10874,1054,,US,US,US,USD,
4980,1057850,,US,US,US,USD,
4980,1060961,,US,US,US,USD,
11140,1075,,US,US,US,USD,
421,1088,,US,US,US,USD,
75159,1089836,,US,US,US,USD,
16504,1092242,,US,US,US,USD,
154818,11047,,US,US,US,USD,
4980,1119450,,US,US,US,USD,
12309,1132,,US,US,US,USD,
421,1143490,,US,US,US,USD,
6511,1149,,US,US,US,USD,
2015,1151948,,US,US,US,USD,
972,1154403,,US,US,US,USD,
12826,1160,,US,US,US,USD,
421,1165445,,US,US,US,USD,
13191,1182,,US,US,US,USD,
36164,1193616,,US,US,US,USD,
13954,1225,,US,US,US,USD,
421,124,,US,US,US,USD,
2166,1242,,US,US,US,USD,
421,12462,,US,US,US,USD,
2166,12471,,US,US,US,USD,
4980,1247785,,US,US,US,USD,
14563,1263,,US,US,US,USD,
1413,1265,,US,US,US,USD,
6058,12666,,US,US,US,USD,
75159,12813,,US,US,US,USD,
16504,1322760,,US,US,US,USD,
15483,1323,,US,US,US,USD,
75159,1324599,,US,US,US,USD,
421,1332,,US,US,US,USD,
421,1333,,US,US,US,USD,
15704,1334,,US,US,US,USD,
15990,1355,,US,US,US,USD,
16504,1387,,US,US,US,USD,
16811,1406,,US,US,US,USD,
17259,1427,,US,US,US,USD,
24411,14282,,US,US,US,USD,
1884,145,,US,US,US,USD,
18523,1499,,US,US,US,USD,
18727,1510,,US,US,US,USD,
18803,1517,,US,US,US,USD,
19378,1537,,US,US,US,USD,
2015,154,,US,US,US,USD,
20018,1576,,US,US,US,USD,
2015,15868,,US,US,US,USD,
36164,15893,,US,US,US,USD,
944,15904,,US,US,US,USD,
944,15923,,US,US,US,USD,
944,15924,,US,US,US,USD,
944,15926,,US,US,US,USD,
154818,16005,,US,US,US,USD,
20316,1602,,US,US,US,USD,
944,16034,,US,US,US,USD,
944,16035,,US,US,US,USD,
944,16037,,US,US,US,USD,
944,16038,,US,US,US,USD,
944,16039,,US,US,US,USD,
944,16041,,US,US,US,USD,
10729,1612,,US,US,US,USD,
20583,1630,,US,US,US,USD,
2166,164,,US,US,US,USD,
2193,166,,US,US,US,USD,
21202,1693,,US,US,US,USD,
154,17,,US,US,US,USD,
21350,1703,,US,US,US,USD,
421,1739,,US,US,US,USD,
1884,17400,,US,US,US,USD,
22415,1792,,US,US,US,USD,
75159,17993,,US,US,US,USD,
22569,1810,,US,US,US,USD,
2350,182,,US,US,US,USD,
6511,1839,,US,US,US,USD,
23210,1854,,US,US,US,USD,
75159,1863,,US,US,US,USD,
23667,1871,,US,US,US,USD,
23694,1872,,US,US,US,USD,
305317,18737,,US,US,US,USD,
421,19096,,US,US,US,USD,
421,19097,,US,US,US,USD,
421,19098,,US,US,US,USD,
12826,19102,,US,US,US,USD,
12558,1927,,US,US,US,USD,
421,1938,,US,US,US,USD,
421,19880,2441730,US,US,US,USD,
95046,19884,1056803,US,US,US,USD,
421,19890,2441736,US,US,US,USD,
421,19896,2441732,US,US,US,USD,
20188,19898,1005001,US,US,US,USD,
95046,19902,1055457,US,US,US,USD,
421,19916,2441739,US,US,US,USD,
20188,19937,1005464,US,US,US,USD,
27577,19940,18863,US,US,US,USD,
95046,19957,1815967,US,US,US,USD,
95046,19969,1815960,US,US,US,USD,
20188,19971,1005573,US,US,US,USD,
7950,19990,1532910,US,US,US,USD,
20188,19994,1005226,US,US,US,USD,
1884,19997,2388412,US,US,US,USD,
2559,200,,US,US,US,USD,
20188,20003,1005637,US,US,US,USD,
16504,20016,1217541,US,US,US,USD,
6531,2002,,US,US,US,USD,
20188,20083,1178941,US,US,US,USD,
36455,20099,932814,US,US,US,USD,
7950,20113,1466473,US,US,US,USD,
20188,20189,1005294,US,US,US,USD,
972,20214,1430535,US,US,US,USD,
25168,2023,,US,US,US,USD,
972,20282,390967,US,US,US,USD,
972,20305,1430536,US,US,US,USD,
972,20314,1430541,US,US,US,USD,
972,20320,1430507,US,US,US,USD,
13954,20323,2082886,US,US,US,USD,
36164,20324,1427541,US,US,US,USD,
36164,20329,1427535,US,US,US,USD,
972,20340,1430510,US,US,US,USD,
95046,20345,2494685,US,US,US,USD,
36164,20355,1578462,US,US,US,USD,
36164,20356,1427539,US,US,US,USD,
972,20362,1853462,US,US,US,USD,
95046,20380,1814766,US,US,US,USD,
21141,20384,1205167,US,US,US,USD,
20188,20396,1005330,US,US,US,USD,
1373,20399,6892,US,US,US,USD,
972,20409,390934,US,US,US,USD,
1373,20410,22032,US,US,US,USD,
12658,20413,561570,US,US,US,USD,
4980,20424,1673888,US,US,US,USD,
1373,20429,316873,US,US,US,USD,
12558,20438,1017241,US,US,US,USD,
7950,20440,1490600,US,US,US,USD,
34215,20446,955116,US,US,US,USD,
18523,20469,2356252,US,US,US,USD,
7950,20471,1490604,US,US,US,USD,
20188,20481,1005569,US,US,US,USD,
